Category,Genre,Spotify URL,Intended Start [sec],BPM,Spectral Flux Min.,Spectral Flux Max.,Spectral Flux Mean,Spectral Flux Std.,Spectral Centroid Min,Spectral Centroid Max,Spectral Centroid Mean,IOI Variance Coeff,Syncopation Degree,Syncopation Ratio,Title,Artist,BPM_manual
Unfamiliar Classic,Film Music,https://open.spotify.com/intl-de/track/5oIYIaFjCZef9IYx3dUtJf?si=a9fbe8216f6b420e,0.0,72.42825123660346,0.0,1.0,0.1437595,0.12540323,0.0,5180.229199508326,703.6567683667,1.112837909927305,1.0,100.0,"Jóhannsson: Good Morning, Midnight",Jóhann Jóhannsson,97.3
Unfamiliar Classic,Film Music,https://open.spotify.com/intl-de/track/4gLvYwz3bLVTa2i3QGFCtZ?si=3122e45785c643cf,0.0,126.7250627627277,6.227942e-05,1.0,0.11422062,0.094118804,437.08223404000535,6937.9080593972685,1143.6190245169669,1.106631867903119,0.5135143242403222,61.34453781512605,Three Thousand Five Hundred And Ninety One Benches - From „Copenhagen Dreams” Soundtrack,Jóhann Jóhannsson,63.0
Unfamiliar Classic,Classical Music,https://open.spotify.com/intl-de/track/20vEB3It4xYzKHlMecu6X1?si=72e08baa220b4341,0.0,68.36906449326717,0.0,1.0,0.17139766,0.11464228,0.0,8549.610436909228,929.2072749309526,0.5987390388309805,1.0,100.0,Table For Two,Abel Korzeniowski,68.6
Unfamiliar Classic,Italian Pop,https://open.spotify.com/intl-de/track/6wrptu9SlLfq8bE6C86kEX?si=25584031aa7c4c11,0.0,180.52442850739575,4.2744414e-05,1.0,0.21463712,0.14056829,322.36176725777415,8538.38689936191,2383.7117733381497,0.7434628790628887,1.0,82.55813953488372,Che Vuole Questa Musica Stasera,Armando Trovajoli,91.0
Familiar Sad,Pop,https://open.spotify.com/intl-de/track/1C0bWhNWIF3yBdjNh4GlCT?si=07413f9c13a8412b,0.0,105.17979452054794,0.0,1.0,0.17041647,0.13981088,0.0,7959.136174342752,1548.3610284958306,0.4652932827628361,0.960268249878813,72.24770642201835,Wonderful Life,Katie Melua,105.2
Familiar Sad,R&B,https://open.spotify.com/intl-de/track/1k1Bqnv2R0uJXQN4u6LKYt?si=2fbb52f039234d11,0.0,156.63675742574256,0.0,1.0,0.1884579,0.13811441,0.0,8582.026942927016,1936.0321636725175,0.4764916815382387,0.9975005188053278,73.51351351351352,Ain't No Sunshine,Bill Withers,79.0
Familiar Sad,Gothic Pop Ballad,https://open.spotify.com/intl-de/track/1odExI7RdWc4BT515LTAwj?si=52b1e3036f704ef8,0.0,128.2512745468278,2.1020328e-06,1.0,0.21957524,0.14885929,317.0216502363964,12238.260921775627,1331.376394990183,0.91133524012843,1.0,100.0,Daylight,David Kushner,128.7
Familiar Sad,Pop,https://open.spotify.com/intl-de/track/6CKoWCWAqEVWVjpeoJXyNH?si=4d6a3745371d4222,0.0,84.52798008665991,0.0041434895,1.0,0.14229213,0.11111958,244.9621625247405,8981.15184821015,2107.539394291885,0.7741503824126371,1.0,100.0,Shape Of My Heart,Sting,84.3
Familiar Sad,Soul,https://open.spotify.com/intl-de/track/6lUXneXZ9jc3HSMHgd8oqh?si=24e8fb4928fd4ad1,0.0,149.2064468503937,2.3422881e-09,1.0,0.14132065,0.11865229,270.91323037477326,9754.294575562968,1269.6124331741266,0.3000283362324471,0.5057669785920285,60.778443113772454,How Can You Mend a Broken Heart,Al Green,147.6
Familiar Sad,R&B,https://open.spotify.com/intl-de/track/7jmHyHMEqm9MJWiMAneF05?si=db553d47d395493a,0.0,82.48779271238055,0.0,1.0,0.12438841,0.096378595,0.0,8116.918465378239,1809.8370228524932,0.6897982003952777,0.4735317724778883,56.43564356435643,Stand By Me,Ben E. King,82.1
