,Category,Genre,Spotify URL,Intended Start [sec],BPM,Spectral Flux Min.,Spectral Flux Max.,Spectral Flux Mean,Spectral Flux Std.,Spectral Centroid Min,Spectral Centroid Max,Spectral Centroid Mean,IOI Variance Coeff,Syncopation Degree,Syncopation Ratio
Love and Affection.mp3,Unfamiliar Sad,Indie,https://open.spotify.com/intl-de/track/6CJMcJR3PxoAmT2Uqp5CWe?si=97d11f696ba14fc7,0.0,72.00976964969091,2.7870079e-05,1.0,0.13332996,0.107732266,464.7065594186227,10149.69211142277,2536.9714329458575,0.6501380474678818,0.9502120020353958,74.89597780859917
Unchained Melody.mp3,Unfamiliar Sad,Soul,https://open.spotify.com/intl-de/track/4h7QUNPruq8t58z7CLExVh?si=8a4980533b374108,0.0,134.1858552631579,0.0,1.0,0.16677803,0.12112389,0.0,7889.99932386591,1902.3315683613469,1.5175561563560171,1.0,100.0
flora cash - To Hold the Sky (För Skylar Hagen) - Audio.mp3,Unfamiliar Sad,Classic,https://open.spotify.com/intl-de/track/3GKQpGuxWDMsLrLhUDj60d?si=7c4ac63481674436,0.0,134.22337673920796,1.1268905e-06,1.0,0.15472962,0.096963644,378.9050454265322,8153.382027169027,1397.0827522384648,0.7518459422379529,0.5322418502497324,63.333333333333336
13 - CuBox & Shiloh Dynasty - Losing Interest (feat. Lane 37).mp3,Unfamiliar Sad,Lo-fi Hip Hop,https://open.spotify.com/intl-de/track/6Gty7m1DoEz1IV5IqL5ZDL?si=44f9c601895347f3,0.0,113.00378618579384,0.0,1.0,0.15083198,0.13464586,0.0,8362.619892925166,1551.6732917432494,0.807594873449764,0.48083447871224055,57.508532423208194
Bob Marley & The Wailers - Three Little Birds (Official Music Video).mp3,Familiar Happy,Reggae,https://open.spotify.com/intl-de/track/7vggqxNKwd6xdRoYS0pQtM?si=01d461ad1d3d465f,0.0,148.58359563043882,0.0,1.0,0.14934556,0.13858745,0.0,17637.439604539795,2585.2402130960763,0.4786813661571841,1.0,74.68354430379746
Hey Nineteen.mp3,Familiar Happy,Jazz-Rock,https://open.spotify.com/intl-de/track/1tjK9HhmpEfk0ijyIKsoUk?si=c0bee6f197dc4ad9,0.0,119.65551156671962,4.645761e-06,1.0,0.1970986,0.19399923,332.5510306825805,12238.260921775629,3846.1421817609817,0.39411465750045466,0.5091572165474952,58.93805309734513
I'll Be Around.mp3,Familiar Happy,R&B,https://open.spotify.com/intl-de/track/2vLaES21zwbX1Rnmj56Bbb?si=042c46a724e54739,0.0,113.25126516652223,0.0,1.0,0.34160557,0.16070187,0.0,7864.814097650252,2313.317361685119,0.6209445359530175,0.5275075139694206,63.29849012775842
"George Michael, Mary J. Blige - As (Official Video).mp3",Familiar Happy,R&B,https://open.spotify.com/intl-de/track/7r3KzVwHtr2iMZtqJvFn9A?si=e2dc48b5126a4597,0.0,123.1865422814983,6.941519e-11,1.0,0.26437718,0.15120406,341.48473060144676,9725.681711689724,3403.8364380893295,0.5416936838132549,0.5645364123511496,63.26714801444043
Sabrina Carpenter - Espresso (Official Audio).mp3,Familiar Happy,Pop,https://open.spotify.com/intl-de/track/2qSkIjg1o9h3YT9RAgYN75?si=af3d551c5c80410f,0.0,103.99770574561099,0.0,1.0,0.2496685,0.15267003,0.0,8542.578994505771,3556.818137826689,0.4957232037097595,1.0,77.1689497716895
Kool & The Gang - Celebration (Lyrics).mp3,Familiar Happy,R&B,https://open.spotify.com/intl-de/track/3K7Q9PHUWPTaknlbFPThn2?si=1de67cdcb5bf4a43,0.0,121.15965299079754,0.0,1.0,0.19176544,0.17442758,0.0,10049.331456690039,3412.8113765576845,0.4342958707217996,0.8980941446822802,70.020964360587
